filename,file_size_bytes,frames,width,height,total_pixels,compression_level,drop_frames,reduce_colors,number_of_colors,optimize_transparency,undo_optimizations,resize_percent,target_width,target_height,elapsed_seconds,output_size_bytes
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,true,true,50,64,64,.103087,170477
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,true,false,25,32,32,.082093,45731
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,true,false,50,64,64,.110544,170477
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,true,true,75,96,96,.191030,345730
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,true,true,100,128,128,.232669,613585
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,false,true,25,32,32,.091749,45732
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,false,true,50,64,64,.110861,170477
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,false,true,100,128,128,.136630,613585
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,true,false,75,96,96,.200346,345730
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,false,true,75,96,96,.147188,345730
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,true,false,100,128,128,.245440,613585
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,false,false,25,32,32,.086565,45732
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,false,false,50,64,64,.106046,170477
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,false,false,100,128,128,.138386,613585
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,128,false,false,75,96,96,.145722,345730
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,256,true,true,25,32,32,.074114,51050
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,256,true,true,50,64,64,.110354,197914
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,256,true,false,25,32,32,.075683,51050
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,256,true,false,50,64,64,.104448,197914
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,256,true,true,75,96,96,.199644,416430
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,256,false,true,25,32,32,.075021,51058
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,256,false,true,50,64,64,.099303,197914
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,256,false,true,100,128,128,.131621,740657
197901_128_x_128.gif,778183,42,128,128,688128,0,none,true,256,true,true,100,128,128,.264820,740657
